%commit,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.21,29.1,29.1,29.21,29.17,29.21,29.14,29.12,29.12,29.15,29.1,29.19,29.08,29.12,29.13,29.1,29.1,29.11,29.1,29.18,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,29.1,29.13,29.28,29.14,29.21,29.12,29.1,29.13,29.16,29.14,29.13,29.12,29.14,29.16,29.21,29.14,29.14,29.21,29.25,29.15,29.2,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.26,29.14,29.17,29.21,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.26,29.2,29.21,29.12,29.12,29.11,29.24,29.16,29.14,29.21,29.28,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.22,29.25,29.17,29.18,29.21,29.18,29.13,29.1,29.15,29.15,29.19,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.13,29.17,29.17,29.13,29.28,29.22,29.13,29.12,29.12,29.08,29.08,29.11,29.11
1,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.21,29.1,29.1,29.21,29.17,29.21,29.14,29.12,29.12,29.15,29.1,29.19,29.08,29.12,29.13,29.1,29.1,29.11,29.1,29.18,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,29.1,29.13,29.28,29.14,29.21,29.12,29.1,29.13,29.16,29.14,29.13,29.12,29.14,29.16,29.21,29.14,29.14,29.21,29.25,29.15,29.2,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.21,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.24,29.16,29.14,29.21,29.2,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.22,29.17,29.17,29.18,29.21,29.18,29.13,29.1,29.15,29.15,29.19,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.13,29.17,29.17,29.13,29.21,29.14,29.13,29.12,29.12,29.08,29.08,29.11,29.11
2,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.21,29.1,29.1,29.21,29.17,29.21,29.14,29.12,29.12,29.15,29.1,29.19,29.08,29.12,29.13,29.1,29.1,29.11,29.1,29.18,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,29.1,29.13,29.28,29.14,29.21,29.12,29.1,29.13,29.16,29.14,29.13,29.12,29.14,29.16,29.21,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.21,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.2,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.22,29.17,29.17,29.11,29.21,29.18,29.13,29.1,29.15,29.08,29.12,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.13,29.17,29.17,29.13,29.21,29.14,29.13,29.12,29.12,29.08,29.08,29.11,29.11
3,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.13,29.1,29.1,29.21,29.17,29.21,29.14,29.12,29.12,29.15,29.1,29.19,29.08,29.12,29.13,29.1,29.1,29.11,29.1,29.18,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,29.1,30.18,29.28,29.14,29.13,29.12,29.1,29.13,29.16,29.14,29.13,30.57,30.72,29.16,29.21,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.21,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.2,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.22,29.17,29.17,29.11,29.13,29.18,29.13,29.1,29.08,29.08,29.12,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.13,29.17,29.17,29.13,29.21,29.14,29.13,29.12,29.12,29.08,29.08,29.11,29.11
4,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.13,29.1,29.1,29.13,29.17,29.21,29.14,29.12,29.12,29.15,29.1,29.19,29.08,29.12,29.13,29.1,29.1,29.11,29.1,29.18,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,29.1,29.13,29.28,29.14,29.13,29.12,29.1,29.13,29.16,29.14,29.13,29.12,29.21,29.16,29.21,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.2,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.22,29.17,30.15,29.11,29.13,29.18,29.13,29.1,29.08,29.08,29.12,29.11,29.97,31.6,29.1,29.17,29.26,29.27,29.13,29.17,29.32,29.8,29.21,29.14,29.13,29.12,29.12,29.08,29.08,29.11,29.11
5,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.13,29.1,29.3,29.13,30.86,29.21,29.14,29.12,29.12,29.15,29.1,29.19,29.08,29.12,31.26,29.1,29.1,29.11,30.11,32.42,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,29.1,29.13,29.28,29.14,29.13,29.12,29.1,29.13,29.16,29.14,29.13,29.12,29.14,29.16,29.21,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.2,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.22,29.17,29.17,29.11,29.13,29.18,30.14,29.1,29.89,29.92,29.12,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.28,29.32,29.17,30.18,29.21,29.14,29.13,29.12,29.12,29.08,29.08,29.11,29.11
6,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.13,29.1,29.1,30.51,29.17,29.21,30.12,29.12,29.12,29.15,29.1,29.19,29.08,29.12,29.13,29.1,29.1,32.36,29.92,30.15,29.13,29.13,29.14,29.1,29.12,29.87,30.26,29.16,29.16,29.13,29.12,29.1,30.13,29.28,29.14,29.32,30.13,29.1,29.13,29.16,29.14,29.13,29.79,30.14,29.16,31.05,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.83,29.14,29.21,29.2,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.22,29.17,29.17,29.11,29.13,29.85,29.13,29.3,33.48,30.2,29.12,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.13,30.01,32.39,29.13,29.21,29.34,29.13,29.12,29.12,29.08,29.08,29.25,29.11
7,29.52,29.18,30.2,32.35,32.23,29.19,29.14,29.14,29.24,30.19,30.1,29.1,29.13,29.17,30.9,29.14,29.12,30.81,30.16,30.33,30.19,32.33,30.17,29.13,30.95,30.92,29.11,29.1,29.18,30.98,30.14,30.15,29.1,29.12,29.11,29.17,29.16,29.16,29.13,32.37,29.1,29.13,32.51,30.83,29.13,29.12,29.1,30.18,30.98,30.14,31.12,29.12,29.14,29.83,32.45,29.81,29.8,29.21,29.25,29.15,29.13,29.79,29.79,29.15,29.19,29.18,29.77,29.8,29.85,29.18,29.81,29.17,29.14,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,32.0,32.0,31.91,31.55,29.78,34.14,29.78,29.83,29.16,29.14,29.21,29.2,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.22,29.17,32.39,32.36,30.25,29.18,29.13,29.1,29.08,29.08,29.12,29.93,32.34,31.31,29.94,29.32,32.33,29.12,29.13,29.17,29.17,29.13,30.26,30.15,29.28,29.12,30.13,29.08,29.08,29.11,29.93
8,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.14,29.1,29.1,30.11,29.17,29.21,30.2,29.12,29.12,29.15,29.1,29.19,29.08,29.12,31.47,29.1,29.1,29.11,30.15,30.23,30.11,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,31.23,29.13,29.28,29.14,29.13,29.12,30.15,29.13,29.16,29.14,29.13,29.12,29.14,29.16,29.21,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,29.85,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.21,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.22,29.17,29.17,29.11,32.38,29.18,32.14,29.1,29.08,29.08,29.12,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.13,29.17,29.17,29.13,30.21,29.14,29.13,30.32,29.12,29.08,30.08,29.11,29.11
9,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.14,29.1,29.1,29.13,29.17,30.11,29.14,29.12,29.12,29.15,30.55,29.19,30.53,29.12,29.13,29.1,29.1,30.12,29.1,29.18,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,29.1,29.13,29.21,29.14,29.13,29.12,29.1,29.13,29.16,29.14,29.13,29.12,29.14,29.16,30.14,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.21,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.14,29.17,29.17,29.11,29.13,29.18,29.13,29.1,29.08,29.08,29.12,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.13,29.17,29.17,29.13,29.21,29.14,29.13,29.12,29.12,29.74,29.08,29.11,29.11
