apply_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
184,5.51,0.002,0.001,0.002,0.001,0.815,0.001,0.001,0.002,0.732,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.253,0.001,0.001,0.001,0,0.001,0,0,3.352,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001
185,0,0.26,0.001,0.001,0.001,0.93,0.001,0.001,0.001,1.016,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.071,2.077,0.001,0.001,0.001,0,0.001,0.001,0.001,4.008,0.001,0.001,0.001,4.479,0.001,0.001,0.001,0,0.001
186,0.679,0.002,0.002,0.002,0.002,1.304,0.002,0.002,0.002,0.125,3.105,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.818,0.001,0.001,0.001,1.815,0.001,0.001,0.001,3.1,0.001
187,0.001,0.478,0.001,0.001,0.001,0,0.001,0.001,0.002,0.001,0,0.001,0.001,0.026,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,5.257,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.421,0,0.001,0.001,0.012,0.003
188,0.002,0.001,0.001,0.001,0.002,0.643,0,0.001,0.002,0.002,1.846,0.001,0.001,0.001,3.794,0.001,0.001,0.001,1.994,0.001,0.001,0.002,0,0.002,0.003,0.002,0.634,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0,0.001,0.001,0.212,2.111
189,0.002,0.003,0.002,0.002,0.002,0.002,1.445,0.002,0.002,0.003,0.337,0.001,0.001,0.002,2.194,0.001,0.001,0.002,0,0.002,0.001,0.001,0.852,0,0.001,0.001,0.045,0,0.002,0.002,0.001,0.002,0.002,0.004,0.001,0,0.002,0.002,0.002,0
190,0.002,0.002,0.001,0.002,0.001,0.001,0,0.002,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0.001,0.001,0,0,0.001,0.001,0.002,0,0.001,0.001,0.001,0,0.001,0.001,0.002,0.061,0.001,0.001,0.001,0,0.002,0.001,0.001,1.03
191,0.001,1.068,0,0.001,0.002,0.002,0,0.003,0.002,0.005,0.001,0,0.0,0.001,0,0.001,0.001,0.002,0,0,0.001,0.002,0.002,3.261,0.002,0.001,0.001,0,0.001,0.002,0,0,0,0,0,4.845,0.001,0.001,0.001,0.001
192,0.005,0.026,0,0.01,0.005,0.004,1.191,0.006,0.003,0.008,0.001,0,0.001,0.002,0.43,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0,0.001,0.001,0.001,3.95,0.002,0.001,0.002,0,0.002,0.002,0.002,0.81,0.002,0.002,0.002,0.002
193,0.001,0.002,0,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.001,1.339,0.001,0.001,0.002,0.002,0.001,0.001,0.779,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,2.919,0.001,0.001,0.004,0.002,0,0.002,0.002,0.001
194,0.002,0.002,0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0,0.001,0.001,0.001,2.023,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,6.476,0.001,0.001,0.001,0.933,0.002,0.001,0.002,0.002,2.447,0.001,0.001,0.001
195,0.001,0.001,4.488,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,1.38,0.001,0.001,0.001,0,0.001,0.001,0.001,7.621,0.001,0.001,0.001,2.272,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,1.85,0.001,0.001,0.001
196,0.002,0.002,0,0.002,0.001,0.001,0.001,0.002,0.002,0.001,0.002,0.878,0.002,0.001,0.002,0.002,0.002,0.002,0.002,1.704,0,0.001,0.001,0.318,0.738,0.001,0.002,1.371,0.008,0.001,0.002,0.002,0,0.002,0.002,0.002,0.805,0.001,0.001,0.001
197,0.004,0.004,0.772,0.004,0.002,0.003,0.002,0.002,0.003,0.003,0.001,0.002,0.003,0.002,0.002,0.001,0.001,0.002,0.002,0.008,0,0.001,0.001,0.002,0,0.002,0.002,0.315,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.173,0.002,0.002,0.001
198,0.001,0.001,0.001,1.356,0.001,0.001,0.001,0,0.001,0.001,0.001,0.002,0.915,0.001,0.001,0.003,0.292,0.002,0.002,0.002,0,0.001,0.001,0.001,3.511,0.001,0.001,0.274,1.552,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001
199,0.001,0.001,0.001,2.5,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.516,0.001,0.001,0.001,2.051,0.001,0.001,0.001,1.108,0.002,0.001,0.001,0,0.001,0.001,0.002,0,0.001,0.001,0.002,0,0.001,0.001,0,0.948,0.795,0.001,0.001
200,0.001,0.001,0.002,0,0.001,0.001,0.001,1.303,0.001,0.001,0.002,0.001,0.992,0.001,0.001,0.001,0,0.001,0.001,0.001,0.281,0.002,0.002,0.002,1.66,0.001,0.002,0.002,3.748,0.002,0.001,0.001,5.146,0.001,0.001,0.001,0.001,0.001,0.001,0.001
201,0.003,0.002,0.002,1.688,0.003,0.002,0.002,0.004,0.002,0.003,0.001,0.001,2.944,0.001,0.002,0.001,0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.005,0.002,0.002,0.003,1.793,0.002,0.001,0.001,0.24,0.001,0.002,0.002,0.002,0,0.001,0.001
202,0.002,0.002,0.002,0.257,0.002,0.003,0.002,0.002,1.736,0.003,0.002,0.002,0.386,0.002,0.002,0.001,0.585,0.002,0.002,0.002,0.002,0.278,0.002,0.002,0.192,0.001,0.002,0.002,0.009,0.003,0.001,0.001,0.001,1.706,0.001,0.001,0.001,0,0.001,0.001
203,0.001,0.001,0.001,0.001,0,0.002,0.002,0.001,0,0.002,0.001,0.002,0.003,0.002,0.002,0.003,0.002,0.002,0.004,0.002,0.002,0,0.003,0.002,0.003,0,0.003,0.004,0.002,1.54,0.001,0.001,0.001,2.558,0.001,0.001,0.002,0,0.002,0.001
204,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002,0.895,0.002,0.002,0.002,0.002,0.001,0.003,0.001,0.002,0.001,0.001,0.001,0.001,1.337,0.002,0.001,0.001,0.886,0.001,0.002,0.001,2.135,0.002,0.002,0.002,1.77,0.003,0.002,0.001,0,0.002,0.001
205,0.002,0.002,0.002,0.001,0,0.001,0.001,0.002,0.007,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,1.22,0.002,0.003,0.004,0.03,0.002,0.002,0.003,1.087,0.001,0.001,0.001,0,0.001,0.002,0.001,0,0.004,0.002
206,0.002,0.002,0.003,0.003,4.419,0.003,0.003,0.008,0.766,0.006,0.002,0.001,0.002,0,0.005,0.002,0.001,0.001,0.002,0.002,0.001,0,0.001,0.003,0.002,0.001,0.001,0.001,0.001,4.823,0.001,0.001,0.001,0,0.001,0.001,0.002,1.017,0.002,0.001
207,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4.149,0.002,0.001,0.002,0.001,0.001,0.001,0.002,0,0.001,0.001,0.001,0.517,0.001,0.002,0.002,0.004,0,0.001
208,0,0.001,0.002,0.002,0,0.003,0.001,0.003,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.579,0.001,0.001,0.001,0,0.001,0.001,0.001,0.102,0.001,0.001,0.001,1.37,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001
209,0,0.002,0.001,0.002,0.888,0.002,0.001,0.002,0.002,0,0.001,0.001,0.002,4.315,0.001,0.002,0.001,0.002,0.001,0.002,0.002,0.83,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.448,0,0.001,0.001,0.384,0.029,0.001,0.001,0.001,0,0.001
210,2.703,0.001,0.001,0.001,0.001,0.187,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001
211,1.146,0.001,0.001,0.002,0.001,0.088,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.059,0,0.001,0.001,0.001,0.34,0.001,0.001,0.001,0.685,0.001,0.001,0.01,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001
212,1.972,0.001,0.002,0.001,0.001,0.006,0.001,0.001,0.001,1.221,0.01,0.003,0.001,0,0.001,0.001,0.001,0.001,2.165,0.001,0.001,0.001,0,0.001,0.001,0.001,0.052,0.001,0.001,0.001,2.12,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001
213,0.937,0.758,0.002,0.001,0.001,0,0.001,0.001,0.001,0.17,0.002,0.001,0.002,1.395,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.276,0.001,0.001,0.001,0.274,0.001,0.002,0.002,0.311,0.001,0.002,0.001,2.238,0
214,0.004,0,0.001,0.001,0.001,0,0.002,0.001,0.002,0.001,0.045,0.001,0.001,0.003,0,0.001,0.001,0.001,0.714,0.001,0.001,0.001,0,0.001,0.001,0.001,0.848,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.57,0.001,0.003,0.166,2.686
215,0.001,0.719,0.001,0.001,0.001,0,0.001,0.002,0.001,0.001,0,0.001,0.001,0.001,2.368,0.001,0.001,0.001,0.001,0.001,0.002,0.002,1.091,0.001,0.002,0.002,0,0.001,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.701,0.001,0.002,0.002,0
216,0.002,0.476,0.003,0.002,0.002,0,0.002,0.003,0.002,0.003,0.62,0.002,0.002,0.002,0,0.002,0.002,0.002,0.003,0.001,0.001,0.001,0,0,0.001,0.001,0.402,0.002,0.001,0.001,0.001,0,0.002,0.002,0.002,0.395,0.001,0.001,0.001,0.769
217,0.002,0,0.002,0.002,0.002,0.699,0.005,0.002,0.002,0.002,0.164,0.001,0.001,0.001,0,0.001,0.001,0.001,0.099,0.325,0.002,0.001,0.356,0,0.001,0.002,0.001,0,0.002,0.001,0.001,2.012,0.001,0.002,0.002,0.001,0.001,0.002,0.002,0.002
218,0.003,0.381,0.002,0.002,0.002,0.003,0,0.002,0.002,0.002,0.001,0.001,0.001,0.003,0,0.001,0.001,0.001,0.02,0.001,0.001,0.001,0.002,3.166,0.001,0.001,0.001,1.327,0.001,0.001,0.001,0,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001
219,0.002,0.001,0.001,0.001,0.001,0.002,1.269,0.002,0.002,0.002,0.001,0,0.001,0.001,3.331,0.713,0.001,0.001,0.002,0.001,0.002,0.001,0.002,3.967,0.001,0.001,0.002,0.328,0.001,0.002,0.001,3.351,0.001,0.001,0.001,0.663,0.001,0.001,0.001,0.001
220,0.004,0.004,0.004,0.002,0.003,0.003,0.002,0.006,0.003,0.004,0.001,0,0.002,0.001,0.204,0.577,0.001,0.002,0.002,1.155,0.001,0.001,0.001,0,0.002,0.001,0.002,0,0.001,0.002,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
221,0.001,0.001,0,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0,0.001,0.001,0.003,0.593,0.002,0.001,0.001,2.071,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,5.392,0.002,0.001,0.001,0.001,0,0,0,0.002
222,0.001,0.002,0.944,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0,0.001,0.001,0.001,0.118,0.001,0.001,0.001,1.136,0.001,0.002,0.001,0.909,0.001,0.001,0.002,1.83,0.002,0.001,0.001,0.634,0.002,0.002,0.002,0.002,0,0.001,0.002,0.001
223,0.002,0.002,0.006,0.002,0.001,0.002,0.001,1.333,0.002,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.041,0.001,0.001,0.111,0,0.001,0.07,0.16,0.43,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001
224,0.002,0.001,0.011,0.001,0.002,0.002,0.001,1.209,0.002,0.002,0.001,0.663,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0.453,0.31,0.001,0.001,0.001,0,0.001,0.001,0.002,1.021,0.001,0.001,0.001,0,0.002,0.001,0.001,0.711,0.001,0.001,0.001
225,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.002,0.001,0.001,0,0.003,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.002,3.698,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.002,0.001,0.001,0.007,0.002,0.003,0.002
226,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,2.186,0.001,0.001,0.001,0,0.001,0.001,0.001,0.484,0.001,0.002,0.004,1.147,0.001,0.001,0.002,0.718,0.002,0.002,0.002,2.808,0.002,0.002,0.003,0.059,0.003,0.002,0.003
227,0.003,0.004,0.002,1.722,0.002,0.002,0.002,0.436,0.001,0.002,0.001,0.001,3.248,0.002,0.004,0.001,3.943,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.367,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.357,0.002,0.002,0.002,0.002,0.001,0.002,0.001
228,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.639,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.133,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.068,0.002,0.001,0.001,0.001,0,0.001,0.001
229,0.002,0.002,0.002,0.318,0.002,0.002,0.002,0.001,2.888,0.002,0.001,0.001,0,0.001,0.001,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.935,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001
230,0,0.002,0.001,0,0.001,0.002,0,0,0,0,0.001,0.001,6.702,0.001,0.001,0.001,0.6,0.001,0.001,0.004,0.001,0.002,0.003,0.003,0.002,0.027,0.002,0.002,0.002,0.003,0.001,0.002,0.002,0,0.001,0.002,0.003,0,0.003,0.002
231,0.002,0.001,0.002,0.002,0.016,0.002,0.002,0.002,0.854,0.003,0.002,0.002,0.879,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,1.099,0.001,0.001,0.001,0.024,0.001,0.001,0.001,0.076,0.001,0.001,0.001,0,0.001,0.001,0.001,3.53,0.001,0.001
232,0.002,0.002,0.001,0.002,1.087,0.001,0.002,0.001,0.245,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0.002,0.001,1.72,0.002,0.001,0.001,0.001,0.001,0.002,0.002,0,0.001,0.001,0.001,3.543,0.001,0.001,0.001,0,0.001,0.001
233,0.002,0.002,0.002,0.002,2.242,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0,0.001,0.002,0.001,2.11,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0,0.002,0.001,0.001,1.292,0.001,0.001,0.001,0,0.001,0.001
234,0.001,0.002,0.001,0.002,0,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0,0.001,0.001,0.001,0.107,0.001,0.001,0.002,1.106,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.002,0.001,0.001,1.147,0,0.001
235,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.584,0.001,0.001,0.001,0,0.001,0.001,0.001,0.518,0.001,0.002,0.003,3.837,0.002,0.001,0.001,2.442,0.001,0.001,0.001,0.203,1.801,0.001
236,0,0.001,0.002,0.001,0.785,0.002,0.002,0.002,0.002,0,0.001,0.002,0.001,1.944,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.861,0.001,0.001,0.001,0,0.001
237,0.742,0.001,0.001,0.001,0.129,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.748,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.869,0.001,0.002,0.002,0.001,0.002,0.002,0.002,0.364,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0,0.001
238,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0,0.001,0.001,0.002,0,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.118,0.001,0.001,0.403,0,0.001,0.001,0.001,0,0.001
239,0,0.001,0.001,0.001,0.001,0.784,0.001,0.001,0.001,0,0.001,0.001,0.001,2.496,0.001,0.001,0.001,0.001,0.68,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.002,0.009,0,0.001,0.001,0.001,5.26,0.001
240,0.56,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,4.954,0,0.001,0.002,0.005,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.532,0.001,0.001,0.001,0,0.001,0.001,0.001,1.064,0.001,0.001,0.001,1.142,0.001
241,0.001,0.323,0.002,0.001,0.002,3.39,0.001,0.002,0.002,0.232,0.436,0.001,0.001,0.001,0.781,0.001,0.001,0.002,0,0.001,0.001,0.001,4.42,0.001,0.001,0.001,0,0.001,0.001,0.001,0.734,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0
242,0.001,0,0.002,0.001,0.001,0.99,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.002,0.001,0,0.001,0.002,0.001,0.496,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.662,0,0.001,0.001,0.358,1.087
243,0.001,0,0.001,0.001,0.002,0,0,0.001,0.002,0.001,0,0.002,0.002,0.002,0,0.001,0.001,0.002,1.128,0.002,0.001,0.001,0.775,0.002,0.001,0.001,0.03,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.567,0.001,0.001,0.002,0
244,0.001,0,0.001,0.001,0.001,0,1.953,0.001,0.001,0.001,0.608,0.001,0.001,0.001,3.554,0.001,0.001,0.001,0.383,0.034,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,2.744
245,0.002,0,0.002,0.002,0.002,0.891,2.004,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.002,0.002,0.002,4.492,0.002,0.002,0.001,1.563
246,0.001,5.373,0.001,0.001,0.001,0.006,0,0.001,0.001,0.001,0.001,0,0.001,0.001,2.304,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.485
247,0.001,0.596,0.002,0.001,0.001,0.002,0,0.001,0.001,0.002,0.001,0,0.001,0.001,0.206,0.042,0.001,0.001,0.001,0,0.001,0.001,0.001,0.806,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.83,0.001,0.001,0.001,0.001
248,0.001,0.001,0,0.001,0.001,0.001,0.83,0.001,0.001,0.001,0.001,0,0.001,0.001,0.003,0.001,0.001,0.001,0.001,2.9,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001
249,0.002,0.002,1.305,0.002,0.001,0.002,0.002,0.002,0.001,0.002,0.001,0,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.257,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.898,0.001,0.001,0.001,0.001,2.077,0.001,0.001,0.001
250,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4.758,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.517,0.002,0.001,0.002,1.222,0.071,0.001,0.001,0.001,0.688,0.001,0.001,0.001,0,0.001,0.001,0.001
251,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.62,0.001,0.002,0.002,0.123,0.001,0.002,0.002,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.005,0.002,0.001,0.001,0.001,2.173,0.001,0.001,0.001,4.424,0.001,0.001,0.001
252,0.001,0.001,0,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.071,0.001,0.001,0.001,0,0.001,0.001,0.001,2.401,0.001,0.001,0.001,1.238,0.001,0.001,0.001,0,0.001,0.001,0.001,0.643,0.001,0.001,0.001
253,0.002,0.002,0.511,2.552,0.003,0.002,0.002,0.462,0.002,0.002,0.001,0.002,0,0.001,0.001,0.157,0.959,0.001,0.002,0.001,1.283,0.001,0.001,0.001,1.684,0.001,0.001,0.001,0,0.001,0.002,0.002,0.992,0.001,0.001,0.001,0.001,0.001,0.003,0.001
254,0.002,0.001,0.002,0,0.002,0.001,0.001,0.002,0.002,0.002,0.001,0.001,1.538,0.001,0.001,0.001,0,0.001,0.001,0.001,0.864,0.001,0.002,0.001,0,0.001,0.002,0.001,3.505,0.002,0.002,0.001,0.017,0.002,0.002,0.001,0.002,0.941,0.002,0.002
255,0.001,0.002,0.002,0,0.001,0.001,0.003,0.002,0.001,0.002,0.001,0.001,0,0.001,0.001,0.002,0,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0,0.001,0.001,0.002,0.919,0.002,0.001,0.001,1.103,0.001,0.001,0.001,0.001,1.616,0.001,0.002
256,0.003,0.002,0.002,0.803,0.003,0.002,0.002,0.003,0.002,0.002,0.001,0.001,0,0.001,0.001,0.001,3.632,0.001,0.001,0.001,0.001,0.001,0.002,0.002,1.369,0.002,0.001,0.002,0.004,0.002,0.001,0.001,0.395,0,0.002,0.001,0.001,1.113,0.002,0.001
257,0.002,0.003,0.003,0.007,0.002,0.002,0.002,0.075,0,0.004,0.002,0.002,0.539,0.002,0.002,0.002,0,0.002,0.002,0.002,0.001,0,0.001,0.002,0.174,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001
258,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.001,1.798,0.002,0.002,0.002,0.002,0.002,0.005,0.002,0.899,0.002,0.002,0.002,0.001,0,0.001,0.001,0.004,0,0.001,0.001,0.001,0,0.001,0.001,0.001,1.659,0.001,0.001,0.001,0,0.001,0.001
259,0.001,0.001,0.001,0.001,0.823,0.002,0.001,0.001,0.498,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.006,0.002,0.002,0.001,0.001,0.709,0.001,0.002,0.001,0,0.002,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001
260,0.003,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.688,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0,0.001,0.001,0.001,0,0.001,0.002,0.001,0,0.001,0.001,0.001,0,0.001,0.001
261,0.002,0.003,0.002,0.004,0.726,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0,0.001,0.001,0.001,0.055,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.002,0.002,0.002,1.613,0.003,0.002,0.003,1.523,0.003,0.001
262,0.249,0.002,0.002,0.001,0.002,0.004,0.003,0.006,0.003,0.016,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0,0.001,0.002,0.002,0.001,0.001,0.001,0.002,0.97,0.001,0.002,0.002,0,0.001,0.002,0.002,0,0.002,0.002,0.002,0.01,0,0.002
263,0.001,0.001,0.001,0.001,0.019,0.001,0.001,0.001,0.001,0,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.702,0.001,0.002,0.002,0.177,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.747,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,1.326,0.001
264,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.001,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,2.413,0.001
265,0,0.001,0.002,0.001,0.002,0,0.001,0.002,0.002,0,0.002,0.001,0.002,0.246,0.002,0.002,0.002,0.001,0.008,0.002,0.002,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.365,0,0.001,0.002,0.002,0,0.001
266,0,0.002,0.001,0.002,0.001,1.422,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0,0.001,0.001,0.001,0.587,0.001,0.001,0.002,0,0.001
267,0,0.002,0.002,0.002,0.002,0.459,0.002,0.002,0.002,1.833,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.027,0.001,0.001,0.001,3.39,0.001
268,3.083,0.072,0.002,0.002,0.001,0.004,0.002,0.002,0.002,0.132,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4.0,0.001,0.002,0.001,0,0.002,0.001,0.001,1.224,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.71
