start_time,Messenger_pipe read message,osd op_enqueue op,osd op_dequeue_op,pg op_do request,Messenger_message_destructed
184252,0.003,0.090,0.233,0.237,0.508
184708,0.002,0.057,0.117,0.119,0.255
184735,0.003,0.083,0.199,0.203,0.376
184863,0.002,0.061,0.192,0.196,0.418
184969,0.002,0.058,0.100,0.102,0.166
185153,0.002,0.052,0.118,0.120,0.184
185247,0.001,0.051,0.107,0.109,0.186
185573,0.002,0.060,0.141,0.143,0.223
185597,0.002,0.057,0.170,0.172,0.274
185754,0.002,0.070,0.141,0.144,0.228
185995,0.003,0.083,0.202,0.206,0.333
186101,0.003,0.114,0.201,0.205,0.336
187045,0.002,0.059,0.123,0.125,0.204
187065,0.001,0.069,0.146,0.148,0.220
187087,0.001,0.049,0.103,0.105,0.187
187375,0.001,0.044,0.118,0.121,0.183
187629,0.005,0.087,0.167,0.171,0.265
187863,0.005,0.096,0.242,0.247,0.431
190262,0.004,0.102,0.173,0.177,0.392
190286,0.003,0.128,0.263,0.267,0.437
190369,0.002,0.077,0.186,0.190,0.358
190531,0.003,0.082,0.176,0.181,0.402
190965,0.003,0.081,0.174,0.179,0.401
190991,0.002,0.053,0.146,0.151,0.333
191111,0.002,0.073,0.196,0.202,0.417
191136,0.003,0.086,0.178,0.183,0.339
191427,0.003,0.084,0.201,0.205,0.373
192834,0.003,0.075,0.196,0.201,0.424
193132,0.003,0.099,0.220,0.224,0.349
193369,0.003,0.084,0.201,0.205,0.373
194005,0.003,0.082,0.196,0.200,0.441
194987,0.002,0.066,0.129,0.131,0.216
195013,0.003,0.080,0.161,0.164,0.302
195014,0.002,0.073,0.126,0.128,0.215
195022,0.002,0.074,0.129,0.132,0.220
195028,0.002,0.070,0.126,0.129,0.217
195039,0.002,0.074,0.136,0.139,0.252
195046,0.002,0.073,0.131,0.133,0.226
195066,0.002,0.074,0.131,0.134,0.243
195068,0.002,0.074,0.150,0.154,0.293
195077,0.008,0.074,0.138,0.140,0.257
197045,0.002,0.076,0.141,0.143,0.236
197079,0.003,0.082,0.159,0.164,0.310
197101,0.002,0.065,0.141,0.143,0.226
197103,0.002,0.082,0.158,0.160,0.256
197105,0.002,0.076,0.124,0.130,0.205
197111,0.002,0.048,0.090,0.091,0.152
197113,0.002,0.060,0.107,0.109,0.184
197117,0.002,0.065,0.118,0.122,0.233
197137,0.002,0.080,0.144,0.146,0.223
197138,0.002,0.084,0.168,0.170,0.258
197143,0.002,0.062,0.109,0.111,0.183
197151,0.002,0.064,0.126,0.129,0.239
197177,0.002,0.065,0.149,0.152,0.260
197179,0.002,0.064,0.124,0.127,0.224
197183,0.002,0.065,0.122,0.125,0.222
197185,0.011,0.071,0.152,0.154,0.259
197188,0.002,0.080,0.137,0.140,0.232
197216,0.002,0.075,0.165,0.173,0.261
197224,0.002,0.075,0.148,0.151,0.248
197229,0.002,0.078,0.145,0.148,0.274
197239,0.002,0.075,0.135,0.139,0.263
